date,order_id,customer_id,region,product,category,quantity,unit_price,discount,revenue
2024-01-01,100000,2884,West,Hydra Cream,Beauty,1,14.29,0.0,14.29
2024-01-01,100001,1160,South,VacuumMax,Home,1,206.03,0.0,206.03
2024-01-01,100002,1400,North,HoodieFlex,Clothing,1,81.46,0.05,77.38699999999999
2024-01-01,100003,3085,South,Athleisure Joggers,Clothing,1,39.17,0.0,39.17
2024-01-01,100004,3331,West,HoodieFlex,Clothing,1,97.43,0.0,97.43
2024-01-01,100005,1016,East,Trail Mix,Grocery,1,10.58,0.0,10.58
2024-01-01,100006,3327,West,ComfyJeans,Clothing,2,50.72,0.0,101.44
2024-01-01,100007,1980,South,Athleisure Joggers,Clothing,3,103.83,0.0,311.49
2024-01-01,100008,1569,North,BlenderPlus,Home,1,180.34,0.1,162.306
2024-01-01,100009,1154,West,Laptop Lite,Electronics,1,1091.55,0.0,1091.55
2024-01-01,100010,2500,South,CoffeeMaster,Home,1,219.67,0.0,219.67
2024-01-01,100011,1035,South,VacuumMax,Home,2,276.57,0.0,553.14
2024-01-01,100012,2166,West,Silky Shampoo,Beauty,1,11.15,0.1,10.035
2024-01-01,100013,2148,South,NoiseCancel Headset,Electronics,1,528.93,0.0,528.93
2024-01-01,100014,3491,West,Protein Bars,Grocery,1,25.21,0.0,25.21
2024-01-01,100015,1876,South,Trail Mix,Grocery,1,19.82,0.0,19.82
2024-01-01,100016,1635,North,BlenderPlus,Home,1,226.04,0.15,192.134
2024-01-01,100017,1740,East,Smartwatch Pro,Electronics,1,623.13,0.0,623.13
2024-01-01,100018,1512,North,NoiseCancel Headset,Electronics,1,597.61,0.0,597.61
2024-01-01,100019,2212,South,Laptop Lite,Electronics,1,811.17,0.0,811.17
2024-01-01,100020,1996,East,ComfyJeans,Clothing,1,15.25,0.0,15.25
2024-01-01,100021,1452,North,CoffeeMaster,Home,1,41.0,0.1,36.9
2024-01-01,100022,1356,South,Smartwatch Pro,Electronics,2,544.36,0.0,1088.72
2024-01-01,100023,3489,South,TechTee,Clothing,2,38.7,0.0,77.4
2024-01-01,100024,1496,East,TechTee,Clothing,1,17.76,0.0,17.76
2024-01-01,100025,1956,West,HoodieFlex,Clothing,1,52.7,0.0,52.7
2024-01-02,100026,1284,East,Organic Oats,Grocery,2,20.59,0.0,41.18
2024-01-02,100027,1089,North,Laptop Lite,Electronics,1,775.52,0.0,775.52
2024-01-02,100028,1825,South,Cold Brew,Grocery,1,10.04,0.0,10.04
2024-01-02,100029,1675,East,TechTee,Clothing,1,55.97,0.15,47.5745
2024-01-02,100030,2008,North,Silky Shampoo,Beauty,1,53.36,0.0,53.36
2024-01-02,100031,3326,West,VacuumMax,Home,1,94.42,0.0,94.42
2024-01-02,100032,1396,West,Smartphone X,Electronics,1,672.08,0.0,672.08
2024-01-02,100033,2819,West,CoffeeMaster,Home,2,258.73,0.0,517.46
2024-01-02,100034,1395,West,Organic Oats,Grocery,1,5.25,0.0,5.25
2024-01-02,100035,2065,South,Silky Shampoo,Beauty,2,56.44,0.0,112.88
2024-01-02,100036,3705,West,Cold Brew,Grocery,1,26.97,0.0,26.97
2024-01-02,100037,2676,West,Hydra Cream,Beauty,1,14.27,0.0,14.27
2024-01-02,100038,3386,North,BlenderPlus,Home,1,51.96,0.0,51.96
2024-01-02,100039,2155,East,Cold Brew,Grocery,2,28.58,0.15,48.586
2024-01-02,100040,2881,South,Matte Lip,Beauty,2,42.62,0.0,85.24
2024-01-02,100041,3523,South,Air Purifier,Home,1,156.54,0.0,156.54
2024-01-02,100042,2214,West,Organic Oats,Grocery,1,18.75,0.15,15.9375
2024-01-02,100043,3719,South,Smartphone X,Electronics,1,1068.74,0.0,1068.74
2024-01-02,100044,2250,East,CoffeeMaster,Home,1,298.1,0.0,298.1
2024-01-02,100045,2396,East,NoiseCancel Headset,Electronics,1,841.39,0.0,841.39
2024-01-02,100046,1967,East,BlenderPlus,Home,1,105.86,0.15,89.981
2024-01-02,100047,3745,South,Smartphone X,Electronics,1,409.9,0.0,409.9
2024-01-02,100048,2224,North,Air Purifier,Home,3,296.28,0.0,888.8399999999999
2024-01-02,100049,1389,South,Trail Mix,Grocery,1,6.6,0.0,6.6
2024-01-02,100050,1876,West,Matte Lip,Beauty,2,13.13,0.1,23.634
2024-01-02,100051,1852,North,VacuumMax,Home,2,296.56,0.0,593.12
2024-01-02,100052,1510,East,BlenderPlus,Home,2,256.35,0.0,512.7
2024-01-02,100053,3818,South,Laptop Lite,Electronics,1,704.19,0.0,704.19
2024-01-02,100054,3504,East,Glow Serum,Beauty,2,31.43,0.0,62.86
2024-01-02,100055,3081,North,Protein Bars,Grocery,1,26.71,0.05,25.3745
2024-01-02,100056,1267,South,Laptop Lite,Electronics,1,654.78,0.05,622.0409999999999
2024-01-02,100057,3966,West,Cold Brew,Grocery,2,13.89,0.0,27.78
2024-01-02,100058,3785,West,ComfyJeans,Clothing,2,109.35,0.0,218.7
2024-01-02,100059,1248,South,ComfyJeans,Clothing,1,20.01,0.0,20.01
2024-01-02,100060,1796,East,Silky Shampoo,Beauty,1,40.46,0.0,40.46
